pl_name,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff
11 Com b,Radial Velocity,2007,323.21,12.2,4914.89848585,,4874.0
11 UMi b,Radial Velocity,2009,516.21997,12.3,4684.8142,,4213.0
14 And b,Radial Velocity,2008,186.76,13.1,1131.15130051,,4888.0
14 Her b,Radial Velocity,2002,1765.0389,12.6,2559.47216157,,5338.0
16 Cyg B b,Radial Velocity,1996,798.5,13.5,565.7374,,5750.0
17 Sco b,Radial Velocity,2020,578.38,12.9,1373.01871824,,4157.0
18 Del b,Radial Velocity,2008,982.85,12.5,2926.24614325,,4980.0
24 Boo b,Radial Velocity,2018,30.33,13.9,280.64248338,,4816.0
24 Sex b,Radial Velocity,2010,452.8,13.4,632.46,,5098.0
24 Sex c,Radial Velocity,2010,883.0,13.9,273.32,,5098.0
2MASS J19383260+4603591 b,Eclipse Timing Variations,2015,406.0,13.4,603.877,,29564.0
4 UMa b,Radial Velocity,2006,270.27,12.6,2511.48007211,,4415.0
47 UMa b,Radial Velocity,1996,1078.0,13.2,804.08,,5872.0
47 UMa c,Radial Velocity,2001,2391.0,14.2,171.621,,5872.0
47 UMa d,Radial Velocity,2009,14002.0,13.5,521.22,,5872.0
51 Peg b,Radial Velocity,1995,4.230785,14.3,146.2018,,5758.0
55 Cnc B b,Radial Velocity,2025,6.7994,1.69,3.5,,3286.0
55 Cnc B c,Radial Velocity,2025,33.747,2.16,5.3,,3286.0
55 Cnc b,Radial Velocity,1996,14.651552,13.9,263.9785,700.0,5198.0
55 Cnc c,Radial Velocity,2004,44.3936,8.51,54.4738,,5198.0
55 Cnc d,Radial Velocity,2002,4799.0,13.0,1232.493,,5198.0
55 Cnc e,Radial Velocity,2004,0.7365474,1.875,7.99,1958.0,5172.0
55 Cnc f,Radial Velocity,2007,260.58,7.59,44.812,,5198.0
6 Lyn b,Radial Velocity,2008,919.86,13.4,597.83523357,,4941.0
61 Vir b,Radial Velocity,2009,4.215,2.11,5.1,,5577.0
61 Vir c,Radial Velocity,2009,38.021,4.46,18.2,,5577.0
61 Vir d,Radial Velocity,2009,123.01,5.11,22.9,,5577.0
7 CMa b,Radial Velocity,2011,735.1,13.4,587.9855,,4826.0
7 CMa c,Radial Velocity,2019,996.0,13.9,276.5121,,4826.0
70 Vir b,Radial Velocity,1996,116.688,12.6,2380.45,,5495.0
75 Cet b,Radial Velocity,2012,696.62,13.3,787.89662095,,4809.0
75 Cet c,Radial Velocity,2023,2051.62,13.9,289.85950718,,4809.0
8 UMi b,Radial Velocity,2015,93.31,13.5,524.41687155,,4847.0
81 Cet b,Radial Velocity,2008,1005.57,13.1,1051.05854195,,4734.0
91 Aqr b,Radial Velocity,2013,181.4,13.1,1017.0,,4665.0
AF Lep b,Imaging,2023,8905.0,13.0,1147.36054927,1400.0,6140.0
AT2021ueyL b,Microlensing,2025,4168.69,13.6,425.89006538,,3680.0
AU Mic b,Transit,2020,8.46308,3.95677019,20.12,600.0,3678.0
AU Mic c,Transit,2021,18.85969,2.52202066,9.6,459.0,3678.0
AU Mic d,Transit Timing Variations,2023,12.73596,1.02,1.053,,3678.0
AU Mic e,Radial Velocity,2025,33.11,4.87,21.1,,3665.0
BD+03 2562 b,Radial Velocity,2017,481.9,12.7,2034.112,,4095.0
BD+14 4559 b,Radial Velocity,2009,268.94,13.8,330.5432,,4864.0
BD+15 2375 b,Radial Velocity,2016,153.22,13.8,337.21763,,4649.0
BD+15 2940 b,Radial Velocity,2013,137.48,13.7,352.78,,4796.0
BD+20 2457 b,Radial Velocity,2009,379.63,12.1,6807.63,,4137.0
BD+20 2457 c,Radial Velocity,2009,621.99,12.4,3963.17,,4137.0
BD+20 274 b,Radial Velocity,2012,578.2,13.0,1334.886,,4296.0
BD+20 594 b,Transit,2016,41.6855,2.57807,22.2481,546.0,5766.0
BD+37 3172 b,Radial Velocity,2023,1887.76,12.4,3368.9811142,,4500.0
BD+42 2315 b,Radial Velocity,2023,123.05,14.2,174.80562385,,4500.0
BD+45 564 b,Radial Velocity,2021,307.88,13.6,432.24663352,,5004.0
BD+48 738 b,Radial Velocity,2011,392.6,13.9,289.2253,,4414.0
BD+48 740 b,Radial Velocity,2018,733.0,13.5,540.311,,4534.0
BD+49 828 b,Radial Velocity,2015,2590.0,13.5,508.5,,4943.0
BD+55 362 b,Radial Velocity,2021,265.59,14.0,228.83645304,,5012.0
BD+63 1405 b,Radial Velocity,2021,1198.48,12.4,3305.4154328,,5000.0
BD-06 1339 c,Radial Velocity,2013,125.94,8.38,53.0,,4324.0
BD-08 2823 c,Radial Velocity,2009,237.6,12.5,104.0,,4746.0
BD-10 3166 b,Radial Velocity,2000,3.48777,14.1,187.5197,,5393.0
BD-11 4672 b,Radial Velocity,2014,1634.0,14.1,206.5895,,4550.0
BD-11 4672 c,Radial Velocity,2020,74.2,4.04,15.37,,4550.0
BD-13 2130 b,Radial Velocity,2007,714.29999,12.5,3108.3774,,4545.0
BD-14 3065 b,Transit,2024,4.2889731,21.59,3932.0,2001.0,6935.0
BD-17 63 b,Radial Velocity,2008,655.57,12.8,1639.99458012,,4714.0
BD-210397 b,Radial Velocity,2023,1891.0,14.0,214.0,,4051.0
BD-210397 c,Radial Velocity,2023,6240.0,12.9,1525.5763536,,4051.0
BEBOP-3 b,Radial Velocity,2025,547.0,14.2,177.34825111,,6033.0
Barnard b,Radial Velocity,2024,3.1542,0.72,0.299,438.0,3195.0
Barnard c,Radial Velocity,2025,4.1244,0.743,0.335,400.0,3195.0
Barnard d,Radial Velocity,2025,2.3402,0.694,0.263,483.0,3195.0
Barnard e,Radial Velocity,2025,6.7392,0.637,0.193,340.0,3195.0
CD Cet b,Radial Velocity,2020,2.2907,1.82,3.95,464.0,3130.0
CFBDSIR J145829+101343 b,Imaging,2011,10037.5,12.4,3337.1,370.0,580.5
CFHTWIR-Oph 98 b,Imaging,2021,8040000.0,20.8487041,2479.0615746,1800.0,2320.0
CI Tau c,Radial Velocity,2024,25.2,13.0,1144.1822652,,3807.0
COCONUTS-2 b,Imaging,2021,402000000.0,12.44196858,2542.627256,434.0,3406.0
CoRoT-1 b,Transit,2008,1.5089557,16.7,327.35,1898.0,5950.0
CoRoT-10 b,Transit,2010,13.2406,10.87,874.0,600.0,5075.0
CoRoT-11 b,Transit,2010,2.99433,16.03,740.51,1657.0,6440.0
CoRoT-12 b,Transit,2010,2.828042,16.14,291.438,1442.0,5675.0
CoRoT-13 b,Transit,2010,4.03519,9.92,415.704,1700.0,5945.0
CoRoT-14 b,Transit,2010,1.51214,12.22,2415.4,1952.0,6035.0
CoRoT-16 b,Transit,2011,5.35227,13.11,170.032,,5650.0
CoRoT-17 b,Transit,2011,3.7681,11.43,772.29,1626.0,5740.0
CoRoT-18 b,Transit,2011,1.9000693,14.68,1102.82,1550.0,5440.0
CoRoT-19 b,Transit,2011,3.89713,14.46,352.78,2000.0,6090.0
CoRoT-2 b,Transit,2008,1.7429935,16.432,1102.82,1521.0,5625.0
CoRoT-20 b,Transit,2011,9.24285,9.41556,1366.669,1024.0,5880.0
CoRoT-20 c,Radial Velocity,2018,1675.0,12.2,5403.11,,5880.0
CoRoT-21 b,Transit,2012,2.72474,14.5717,718.2958,,6200.0
CoRoT-22 b,Transit,2014,9.75598,4.88,12.2,885.0,5939.0
CoRoT-23 b,Transit,2011,3.6313,11.77,889.9,1660.0,5900.0
CoRoT-24 b,Transit,2014,5.1134,3.7,5.7,1070.0,4950.0
CoRoT-24 c,Transit,2014,11.759,5.0,28.0,850.0,4950.0
CoRoT-25 b,Transit,2013,4.86069,12.11,85.81,1330.0,6040.0
CoRoT-26 b,Transit,2013,4.20474,14.12,165.26,1600.0,5590.0
CoRoT-27 b,Transit,2014,3.57532,11.287,3302.11,1500.0,5900.0
CoRoT-28 b,Transit,2015,5.20851,10.704595,153.82972,,5150.0
CoRoT-29 b,Transit,2015,2.85057,10.0881,270.1555,,5260.0
CoRoT-3 b,Transit,2008,4.2568,11.32,6883.91,1695.0,6740.0
CoRoT-30 b,Transit,2020,9.06005,11.309881,921.707,,5650.0
CoRoT-31 b,Transit,2020,4.62941,16.36514,266.9772,,5700.0
CoRoT-32 b,Transit,2018,6.71837,6.38913,47.6745,938.0,5970.0
CoRoT-35 b,Transit,2022,3.22748,18.83108758,349.6112477,1747.0,6390.0
CoRoT-36 b,Transit,2022,5.616531,15.80466279,216.12331676,1567.0,6730.0
CoRoT-4 b,Transit,2008,9.20205,13.34,228.83,1074.0,6190.0
CoRoT-5 b,Transit,2009,4.0378962,15.558,148.42,1438.0,6100.0
CoRoT-6 b,Transit,2009,8.886593,13.068,940.74,1017.0,6090.0
CoRoT-7 b,Transit,2009,0.85359163,1.68135,4.07660518,1756.0,5275.0
CoRoT-7 c,Radial Velocity,2009,3.698,2.83,8.4,,5256.0
CoRoT-7 d,Radial Velocity,2022,8.966,4.31,17.142,,5250.0
CoRoT-8 b,Transit,2010,6.21229,6.39,69.92,870.0,5080.0
CoRoT-9 b,Transit,2009,95.272656,11.948794,266.9772,420.0,5625.0
DE CVn b,Eclipse Timing Variations,2018,4098.1,12.4,3823.27330161,,3579.0
DENIS-P J082303.1-491201 b,Astrometry,2013,246.36,11.9,9057.77,,
DMPP-1 b,Radial Velocity,2019,18.57,5.29,24.27,877.0,6196.0
DMPP-1 c,Radial Velocity,2019,6.584,3.06,9.6,1239.0,6196.0
DMPP-1 d,Radial Velocity,2019,2.882,1.65,3.35,1632.0,6196.0
DMPP-1 e,Radial Velocity,2019,5.516,1.86,4.13,1314.0,6196.0
DMPP-2 b,Radial Velocity,2019,5.2072,14.3,138.89171,1000.0,6500.0
DMPP-3 A b,Radial Velocity,2019,6.6732,1.41,2.58,854.0,5138.0
DMPP-4 b,Radial Velocity,2023,3.4982,3.53,12.2,,6400.0
DP Leo b,Eclipse Timing Variations,2009,10220.0,12.7,1995.88832,,13500.0
DS Tuc A b,Transit,2019,8.138268,5.7,413.179,850.0,5428.0
EPIC 201170410.02,Transit,2020,6.7987,1.047,1.15,,3648.0
EPIC 201238110 b,Transit,2019,28.1656,1.87,4.16,,3587.0
EPIC 201427007 b,Transit,2021,0.72091,1.5,2.86,,5633.0
EPIC 201497682 b,Transit,2019,2.13174,0.692,0.26,,4991.0
EPIC 201595106 b,Transit,2021,0.87724,1.565,7.67,2038.0,5679.0
EPIC 201615463 c,Transit,2019,3.80464,1.22,1.98,,5960.0
EPIC 201754305 d,Transit,2019,2.71578,1.03,1.08,,4761.0
EPIC 201757695.02,Transit,2020,2.0478,0.90819,0.688,,4520.0
EPIC 201833600 c,Transit,2019,3.96151,1.0,0.972,,4326.0
EPIC 201841433 b,Transit,2019,4.1698,1.04,1.12,,5053.0
EPIC 205950854 c,Transit,2019,8.050722,1.31,2.27,960.6,5502.7
EPIC 206024342 b,Transit,2019,4.50756,1.7,3.53,,5724.0
EPIC 206024342 c,Transit,2021,0.911724,1.4,2.54,,5724.0
EPIC 206024342 d,Transit,2021,14.647531,2.6,7.27,,5724.0
EPIC 206032309 b,Transit,2019,2.87814,1.01,1.01,,3489.0
EPIC 206042996 b,Transit,2019,5.2986,1.7,3.53,,4114.0
EPIC 206042996 c,Transit,2021,0.354884,1.2,1.87,,4114.0
EPIC 206215704 b,Transit,2019,2.255436,1.0,0.972,,3297.0
EPIC 206317286 b,Transit,2019,1.58252,0.96,0.84,,4752.0
EPIC 206317286 c,Transit,2022,17.515472,2.094,5.03,,4752.0
EPIC 211822797 b,Transit,2016,21.1701963,1.92,4.35,431.0,4057.0
EPIC 211945201 b,Transit,2018,19.49221,5.76,11.0,817.0,6069.0
EPIC 212297394 b,Transit,2019,2.289363,1.48,2.79,1149.0,5171.0
EPIC 212297394 c,Transit,2021,5.213965,2.27,5.77,866.0,5171.0
EPIC 212424622 b,Transit,2019,18.0983,2.17,5.35,,5782.33
EPIC 212499991 b,Transit,2019,34.885,1.6,3.19,,4982.79
EPIC 212587672 b,Transit,2019,15.28078,1.26,2.13,756.0,6004.0
EPIC 212587672 c,Transit,2021,23.228555,2.32,5.99,658.0,6004.0
EPIC 212624936 b,Transit,2021,0.578657,1.2,1.87,,5765.0
EPIC 212624936 c,Transit,2021,11.811437,2.3,5.9,,5765.0
EPIC 212737443 b,Transit,2019,13.603,2.586,7.2,536.0,4684.0
EPIC 212737443 c,Transit,2019,65.55,2.69,7.7,316.0,4684.0
EPIC 220492298 b,Transit,2021,0.762406,0.99,0.937,,5620.0
EPIC 220554210 c,Transit,2019,0.70531,1.6,3.19,,5499.0
EPIC 220674823 b,Transit,2016,0.5713127,1.676,7.8,2299.0,5578.0
EPIC 220674823 c,Transit,2016,13.33989,2.84,7.32,804.0,5578.0
EPIC 228836835 b,Transit,2021,0.728113,1.1,1.37,932.0,3782.0
EPIC 229004835 b,Transit,2023,16.141132,2.332,10.4,804.0,5868.0
EPIC 246851721 b,Transit,2018,6.180235,11.780659,953.49,1401.0,6202.0
EPIC 248847494 b,Transit,2018,3650.0,12.44199,4131.79,183.0,4898.0
EPIC 249893012 b,Transit,2020,3.5951,1.95,8.75,1616.0,5430.0
EPIC 249893012 c,Transit,2020,15.624,3.67,14.67,990.0,5430.0
EPIC 249893012 d,Transit,2020,35.747,3.94,10.18,752.0,5430.0
G 192-15 b,Radial Velocity,2025,2.27476,1.02,1.03,453.6,2999.0
G 192-15 c,Radial Velocity,2025,1219.0,3.87,14.3,55.9,2999.0
G 261-6 b,Radial Velocity,2025,5.4536,1.1,1.37,322.3,2907.0
G 264-012 b,Radial Velocity,2021,2.30538,1.39,2.5,587.0,3326.0
G 264-012 c,Radial Velocity,2021,8.0518,1.76,3.75,387.0,3326.0
G 268-110 b,Radial Velocity,2025,1.43263,1.13,1.52,534.0,
G 9-40 b,Transit,2019,5.7459982,1.9,4.0,440.6,3395.0
GJ 1002 b,Radial Velocity,2022,10.3465,1.03,1.08,230.9,3024.0
GJ 1002 c,Radial Velocity,2022,21.202,1.1,1.36,181.7,3024.0
GJ 1061 b,Radial Velocity,2020,3.204,1.1,1.37,,2953.0
GJ 1061 c,Radial Velocity,2020,6.689,1.18,1.74,,2953.0
GJ 1061 d,Radial Velocity,2020,13.031,1.16,1.64,,2953.0
GJ 1132 b,Transit,2015,1.62892911,1.19151465,1.83704819,583.8,3229.0
GJ 1132 c,Radial Velocity,2018,8.929,1.43,2.64,300.0,3270.0
GJ 1148 b,Radial Velocity,2010,41.38,11.9,96.7,,3287.0
